MONTH,INFLATION RATE MOM
Thg3-14,-0.43%
Thg2-14,0.54%
Thg1-14,0.69%
Thg12-13,0.51%
Thg11-13,0.33%
Thg10-13,0.49%
Thg9-13,1.05%
Thg8-13,0.82%
Thg7-13,0.26%
Thg6-13,0.05%
Thg5-13,-0.06%
Thg4-13,0.02%
Thg3-13,-0.19%
Thg2-13,1.32%
Thg1-13,1.24%
Thg12-12,0.27%
Thg11-12,0.46%
Thg10-12,0.85%
Thg9-12,2.19%
Thg8-12,0.63%
Thg7-12,-0.29%
Thg6-12,-0.26%
Thg5-12,0.17%
Thg4-12,0.05%
Thg3-12,0.15%
Thg2-12,1.36%
Thg1-12,1%
Thg12-11,0.52%
Thg11-11,0.38%
Thg10-11,0.36%
Thg9-11,0.82%
Thg8-11,0.93%
Thg7-11,1.16%
Thg6-11,1.08%
Thg5-11,2.21%
Thg4-11,3.32%
Thg3-11,2.16%
Thg2-11,2.09%
Thg1-11,1.73%
Thg12-10,1.98%
Thg11-10,1.86%
Thg10-10,1.04%
Thg9-10,1.31%
Thg8-10,0.22%
Thg7-10,0.05%
Thg6-10,0.22%
Thg5-10,0.27%
Thg4-10,0.13%
Thg3-10,0.74%
Thg2-10,1.96%
Thg1-10,1.36%
Thg12-09,1.38%
Thg11-09,0.54%
Thg10-09,0.37%
Thg9-09,0.62%
Thg8-09,0.23%
Thg7-09,0.51%
Thg6-09,0.55%
Thg5-09,0.43%
Thg4-09,0.35%
Thg3-09,-0.17%
Thg2-09,1.17%
Thg1-09,0.31%
Thg12-08,-0.68%
Thg11-08,-0.75%
Thg10-08,-0.19%
Thg9-08,0.18%
Thg8-08,1.56%
Thg7-08,1.12%
Thg6-08,2.13%
Thg5-08,3.91%
Thg4-08,2.20%
Thg3-08,2.99%
Thg2-08,3.55%
Thg1-08,2.37%
Thg12-07,2.90%
Thg11-07,1.23%
Thg10-07,0.73%
Thg9-07,0.51%
Thg8-07,0.54%
Thg7-07,0.93%
Thg6-07,0.86%
Thg5-07,0.76%
Thg4-07,0.49%
Thg3-07,-0.22%
Thg2-07,2.17%
Thg1-07,1.02%
Thg12-06,0.55%
Thg11-06,0.57%
Thg10-06,0.28%
Thg9-06,0.28%
Thg8-06,0.38%
Thg7-06,0.36%
Thg6-06,0.38%
Thg5-06,0.57%
Thg4-06,0.20%
Thg3-06,-0.48%
Thg2-06,2.13%
Thg1-06,1.19%
Thg12-05,0.78%
Thg11-05,0.40%
Thg10-05,0.40%
Thg9-05,0.79%
Thg8-05,0.40%
Thg7-05,0.41%
Thg6-05,0.41%
Thg5-05,0.41%
Thg4-05,0.61%
Thg3-05,0.09%
Thg2-05,2.54%
Thg1-05,1.07%
Thg12-04,0.64%
Thg11-04,0.22%
Thg10-04,0%
Thg9-04,0.21%
Thg8-04,0.65%
Thg7-04,0.44%
Thg6-04,0.87%
Thg5-04,0.89%
Thg4-04,0.45%
Thg3-04,0.79%
Thg2-04,3.01%
Thg1-04,1.05%
Thg12-03,0.83%
Thg11-03,0.58%
Thg10-03,-0.10%
Thg9-03,0%
Thg8-03,0%
Thg7-03,-0.37%
Thg6-03,-0.23%
Thg5-03,-0.12%
Thg4-03,0%
Thg3-03,-0.57%
Thg2-03,2.14%
Thg1-03,0.84%
Thg12-02,0.36%
Thg11-02,0.25%
Thg10-02,0.36%
Thg9-02,0.11%
Thg8-02,0.12%
Thg7-02,-0.12%
Thg6-02,0.12%
Thg5-02,0.36%
Thg4-02,0%
Thg3-02,-0.85%
Thg2-02,2.25%
Thg1-02,1.11%
Thg12-01,0.83%
Thg11-01,0.24%
Thg10-01,-0.17%
Thg9-01,0.51%
Thg8-01,0%
Thg7-01,-0.17%
Thg6-01,0%
Thg5-01,-0.17%
Thg4-01,-0.49%
Thg3-01,-0.75%
Thg2-01,0.41%
Thg1-01,0.24%
Thg12-00,0.09%
Thg11-00,0.91%
Thg10-00,0.09%
Thg9-00,-0.17%
Thg8-00,0.07%
Thg7-00,-0.58%
Thg6-00,-0.49%
Thg5-00,-0.58%
Thg4-00,-0.74%
Thg3-00,-1.14%
Thg2-00,1.57%
Thg1-00,0.41%
Thg12-99,0.51%
Thg11-99,0.41%
Thg10-99,-1.08%
Thg9-99,-0.57%
Thg8-99,-0.40%
Thg7-99,-0.40%
Thg6-99,-0.31%
Thg5-99,-0.42%
Thg4-99,-0.63%
Thg3-99,-0.72%
Thg2-99,1.88%
Thg1-99,1.65%
Thg12-98,0.85%
Thg11-98,0.07%
Thg10-98,0.24%
Thg9-98,1.01%
Thg8-98,1.12%
Thg7-98,-0.52%
Thg6-98,0%
Thg5-98,1.38%
Thg4-98,1.59%
Thg3-98,-0.86%
Thg2-98,2.21%
Thg1-98,1.18%
Thg12-97,0.98%
Thg11-97,0.37%
Thg10-97,0.26%
Thg9-97,0.56%
Thg8-97,0.08%
Thg7-97,0.27%
Thg6-97,0.10%
Thg5-97,-0.56%
Thg4-97,-0.53%
Thg3-97,-0.55%
Thg2-97,1.86%
Thg1-97,0.73%
Thg12-96,1.04%
Thg11-96,0.86%
Thg10-96,0.08%
Thg9-96,0.28%
Thg8-96,-0.36%
Thg7-96,-0.66%
Thg6-96,-0.57%
Thg5-96,-0.46%
Thg4-96,0.08%
Thg3-96,0.85%
Thg2-96,2.51%
Thg1-96,0.88%
Thg12-95,0.28%
Thg11-95,0.11%
Thg10-95,0.08%
Thg9-95,0.49%
Thg8-95,0.29%
Thg7-95,0%
Thg6-95,0.81%
Thg5-95,1.81%
Thg4-95,0.92%
Thg3-95,0.20%
Thg2-95,3.40%
